Hospital Name,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Patient experience national comparison
SOUTHEAST ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Same as the national average,Below the national average
MARSHALL MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Same as the national average,Above the national average,Same as the national average
ELIZA COFFEE MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Same as the national average,Same as the national average,Above the national average,Below the national average
MIZELL MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Below the national average,Below the national average,Above the national average,Same as the national average
CRENSHAW COMMUNITY HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Not Available
ST VINCENT'S EAST,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2.0,Same as the national average,Below the national average,Same as the national average,Below the national average
DEKALB REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
SHELBY BAPTIST MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Below the national average
CALLAHAN EYE HOSPITAL,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,Not Available,Same as the national average,Same as the national average,Not Available
HELEN KELLER MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2.0,Below the national average,Same as the national average,Above the national average,Below the national average
DALE MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Same as the national average,Same as the national average,Above the national average,Above the national average
CHEROKEE MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Above the national average
BAPTIST MEDICAL CENTER SOUTH,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Below the national average,Below the national average
JACKSON HOSPITAL & CLINIC INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
EAST ALABAMA MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Above the national average,Same as the national average,Above the national average,Above the national average
WEDOWEE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Not Available
UNIVERSITY OF ALABAMA HOSPITAL,AL,Acute Care Hospitals,Government - State,Yes,3.0,Below the national average,Same as the national average,Below the national average,Above the national average
COMMUNITY HOSPITAL INC,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4.0,Same as the national average,Same as the national average,Same as the national average,Same as the national average
CULLMAN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Same as the national average
ANDALUSIA REGIONAL HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Below the national average,Same as the national average,Above the national average,Below the national average
STRINGFELLOW MEMORIAL HOSPITAL,AL,Acute Care Hospitals,Proprietary,Yes,3.0,Same as the national average,Same as the national average,Above the national average,Below the national average
HUNTSVILLE HOSPITAL,AL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3.0,Above the national average,Same as the national average,Below the national average,Same as the national average
GADSDEN REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Proprietary,Yes,2.0,Below the national average,Below the national average,Below the national average,Below the national average
MARION REGIONAL MEDICAL CENTER,AL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5.0,Same as the national average,Same as the national average,Above the national average,Above the national average
